Time In,Time Out,Tag Category,Tag Description,Status
00:09:05,00:09:05,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:05,00:09:05,Drug scene,Drug scene,-
00:09:05,00:09:05,Smoking scenes,Smoking scenes,-
00:09:06,00:09:06,Smoking scenes,Smoking scenes,-
00:09:06,00:09:06,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:06,00:09:06,Drug scene,Drug scene,-
00:09:08,00:09:08,Drug scene,Drug scene,-
00:09:08,00:09:08,Smoking scenes,Smoking scenes,-
00:09:08,00:09:08,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:11,00:09:11,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:13,00:09:13,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:14,00:09:14,Drug scene,Drug scene,-
00:09:14,00:09:14,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:14,00:09:14,Smoking scenes,Smoking scenes,-
00:09:16,00:09:16,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:17,00:09:17,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:18,00:09:18,Smoking scenes,Smoking scenes,-
00:09:20,00:09:20,Smoking scenes,Smoking scenes,-
00:09:21,00:09:21,Smoking scenes,Smoking scenes,-
00:09:28,00:09:28,Old Lady Drinking,Old Lady Drinking,-
00:09:28,00:09:28,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:29,00:09:29,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:30,00:09:30,Smoking scenes,Smoking scenes,-
00:09:31,00:09:31,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:32,00:09:32,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:35,00:09:35,Drug scene,Drug scene,-
00:09:35,00:09:35,Smoking scenes,Smoking scenes,-
00:09:35,00:09:35,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:36,00:09:36,Drug scene,Drug scene,-
00:09:37,00:09:37,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:40,00:09:40,Drug scene,Drug scene,-
00:09:40,00:09:40,Smoking scenes,Smoking scenes,-
00:09:40,00:09:40,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:41,00:09:41,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:41,00:09:41,Drug scene,Drug scene,-
00:09:41,00:09:41,Smoking scenes,Smoking scenes,-
00:09:42,00:09:42,Drug scene,Drug scene,-
00:09:42,00:09:42,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:42,00:09:42,Smoking scenes,Smoking scenes,-
00:09:43,00:09:43,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:43,00:09:43,Smoking scenes,Smoking scenes,-
00:09:43,00:09:43,Drug scene,Drug scene,-
00:09:44,00:09:44,Smoking scenes,Smoking scenes,-
00:09:44,00:09:44,Drug scene,Drug scene,-
00:09:44,00:09:44,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:45,00:09:45,Drug scene,Drug scene,-
00:09:45,00:09:45,Old Lady Drinking,Old Lady Drinking,-
00:09:45,00:09:45,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:45,00:09:45,Smoking scenes,Smoking scenes,-
00:09:46,00:09:46,Drug scene,Drug scene,-
00:09:46,00:09:46,Smoking scenes,Smoking scenes,-
00:09:46,00:09:46,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:47,00:09:47,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:47,00:09:47,Smoking scenes,Smoking scenes,-
00:09:47,00:09:47,Old Lady Drinking,Old Lady Drinking,-
00:09:47,00:09:47,Drug scene,Drug scene,-
00:09:48,00:09:48,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:49,00:09:49,Smoking scenes,Smoking scenes,-
00:09:49,00:09:49,Old Lady Drinking,Old Lady Drinking,-
00:09:49,00:09:49,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:50,00:09:50,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:50,00:09:50,Smoking scenes,Smoking scenes,-
00:09:50,00:09:50,Drug scene,Drug scene,-
00:09:51,00:09:51,Old Lady Drinking,Old Lady Drinking,-
00:09:51,00:09:51,Drug scene,Drug scene,-
00:09:51,00:09:51,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:51,00:09:51,Smoking scenes,Smoking scenes,-
00:09:52,00:09:52,Drug scene,Drug scene,-
00:09:52,00:09:52,Smoking scenes,Smoking scenes,-
00:09:52,00:09:52,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:09:54,00:09:54,Smoking scenes,Smoking scenes,-
00:09:55,00:09:55,Smoking scenes,Smoking scenes,-
00:09:59,00:09:59,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:10:10,00:10:10,Drug scene,Drug scene,-
00:10:10,00:10:10,Nudity,Nudity,-
00:10:14,00:10:14,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:10:15,00:10:15,Drug scene,Drug scene,-
00:10:15,00:10:15,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:10:20,00:10:20,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:10:21,00:10:21,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:10:21,00:10:21,Smoking scenes,Smoking scenes,-
00:10:21,00:10:21,Drug scene,Drug scene,-
00:10:22,00:10:22,Drug scene,Drug scene,-
00:10:24,00:10:24,Drug scene,Drug scene,-
00:10:25,00:10:25,Drug scene,Drug scene,-
00:10:26,00:10:26,Drug scene,Drug scene,-
00:10:27,00:10:27,Drug scene,Drug scene,-
00:11:11,00:11:11,Drug scene,Drug scene,-
00:11:12,00:11:12,Drug scene,Drug scene,-
00:11:44,00:11:44,Old Lady Drinking,Old Lady Drinking,-
00:11:44,00:11:44,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:11:45,00:11:45,Smoking scenes,Smoking scenes,-
00:11:45,00:11:45,Drug scene,Drug scene,-
00:11:45,00:11:45,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:11:46,00:11:46,Drug scene,Drug scene,-
00:11:46,00:11:46,Old Lady Drinking,Old Lady Drinking,-
00:11:46,00:11:46,Smoking scenes,Smoking scenes,-
00:11:46,00:11:46,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:11:47,00:11:47,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:11:47,00:11:47,Old Lady Drinking,Old Lady Drinking,-
00:11:48,00:11:48,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:11:48,00:11:48,Old Lady Drinking,Old Lady Drinking,-
00:11:49,00:11:49,Old Lady Drinking,Old Lady Drinking,-
00:11:55,00:11:55,Drug scene,Drug scene,-
00:11:55,00:11:55,Smoking scenes,Smoking scenes,-
00:11:58,00:11:58,Old Lady Drinking,Old Lady Drinking,-
00:11:58,00:11:58,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:00,00:12:00,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:00,00:12:00,Old Lady Drinking,Old Lady Drinking,-
00:12:01,00:12:01,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:01,00:12:01,Drug scene,Drug scene,-
00:12:01,00:12:01,Smoking scenes,Smoking scenes,-
00:12:02,00:12:02,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:06,00:12:06,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:21,00:12:21,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:21,00:12:21,Drug scene,Drug scene,-
00:12:21,00:12:21,Smoking scenes,Smoking scenes,-
00:12:22,00:12:22,Drug scene,Drug scene,-
00:12:22,00:12:22,Smoking scenes,Smoking scenes,-
00:12:22,00:12:22,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:23,00:12:23,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:24,00:12:24,Drug scene,Drug scene,-
00:12:29,00:12:29,Smoking scenes,Smoking scenes,-
00:12:29,00:12:29,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:29,00:12:29,Drug scene,Drug scene,-
00:12:31,00:12:31,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:31,00:12:31,Smoking scenes,Smoking scenes,-
00:12:32,00:12:32,Drug scene,Drug scene,-
00:12:32,00:12:32,Smoking scenes,Smoking scenes,-
00:12:32,00:12:32,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:33,00:12:33,Smoking scenes,Smoking scenes,-
00:12:33,00:12:33,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:33,00:12:33,Drug scene,Drug scene,-
00:12:42,00:12:42,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:43,00:12:43,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:46,00:12:46,Drug scene,Drug scene,-
00:12:47,00:12:47,Drug scene,Drug scene,-
00:12:47,00:12:47,Smoking scenes,Smoking scenes,-
00:12:49,00:12:49,Smoking scenes,Smoking scenes,-
00:12:51,00:12:51,Drug scene,Drug scene,-
00:12:54,00:12:54,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:12:54,00:12:54,Drug scene,Drug scene,-
00:12:54,00:12:54,Smoking scenes,Smoking scenes,-
00:12:59,00:12:59,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:13:05,00:13:05,Nudity,Nudity,-
00:13:06,00:13:06,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:13:07,00:13:07,Drug scene,Drug scene,-
00:13:10,00:13:10,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:13:10,00:13:10,Smoking scenes,Smoking scenes,-
00:13:10,00:13:10,Drug scene,Drug scene,-
00:13:10,00:13:10,Nudity,Nudity,-
00:13:11,00:13:11,Smoking scenes,Smoking scenes,-
00:13:11,00:13:11,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:13:11,00:13:11,Nudity,Nudity,-
00:13:11,00:13:11,Drug scene,Drug scene,-
00:13:12,00:13:12,Smoking scenes,Smoking scenes,-
00:13:12,00:13:12,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:13:12,00:13:12,Drug scene,Drug scene,-
00:13:12,00:13:12,Nudity,Nudity,-
00:13:22,00:13:22,Nudity,Nudity,-
00:13:28,00:13:28,Drug scene,Drug scene,-
00:13:28,00:13:28,Smoking scenes,Smoking scenes,-
00:15:49,00:15:49,Drug scene,Drug scene,-
00:15:50,00:15:50,Nudity,Nudity,-
00:15:54,00:15:54,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:15:54,00:15:54,Drug scene,Drug scene,-
00:15:59,00:15:59,Nudity,Nudity,-
00:16:10,00:16:10,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:16:11,00:16:11,Nudity,Nudity,-
00:16:14,00:16:14,Drug scene,Drug scene,-
00:16:15,00:16:15,Nudity,Nudity,-
00:16:15,00:16:15,Drug scene,Drug scene,-
00:16:34,00:16:34,Nudity,Nudity,-
00:16:37,00:16:37,Smoking scenes,Smoking scenes,-
00:16:37,00:16:37,Drug scene,Drug scene,-
00:16:38,00:16:38,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:16:38,00:16:38,Smoking scenes,Smoking scenes,-
00:16:38,00:16:38,Drug scene,Drug scene,-
00:16:41,00:16:41,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:17:04,00:17:04,Drug scene,Drug scene,-
00:17:20,00:17:20,Drug scene,Drug scene,-
00:18:24.479,00:18:50.199,Profanity,['रंडीबाजी'],-
00:18:50,00:18:50,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:19:09,00:19:09,Drug scene,Drug scene,-
00:19:10,00:19:10,Drug scene,Drug scene,-
00:19:11,00:19:11,Drug scene,Drug scene,-
00:19:28,00:19:28,Smoking scenes,Smoking scenes,-
00:19:28,00:19:28,Drug scene,Drug scene,-
00:19:29,00:19:29,Smoking scenes,Smoking scenes,-
00:19:29,00:19:29,Drug scene,Drug scene,-
00:19:29,00:19:29,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:19:35,00:19:35,Drug scene,Drug scene,-
00:19:35,00:19:35,Smoking scenes,Smoking scenes,-
00:19:36,00:19:36,Smoking scenes,Smoking scenes,-
00:19:36,00:19:36,Drug scene,Drug scene,-
00:19:37,00:19:37,Smoking scenes,Smoking scenes,-
00:19:37,00:19:37,Drug scene,Drug scene,-
00:19:39,00:19:39,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:19:40,00:19:40,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:20:02,00:20:02,Drug scene,Drug scene,-
00:20:43,00:20:43,Drug scene,Drug scene,-
00:20:43,00:20:43,Smoking scenes,Smoking scenes,-
00:20:44,00:20:44,Smoking scenes,Smoking scenes,-
00:20:44,00:20:44,Drug scene,Drug scene,-
00:20:46,00:20:46,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:20:47,00:20:47,Drug scene,Drug scene,-
00:20:47,00:20:47,Smoking scenes,Smoking scenes,-
00:20:48,00:20:48,Drug scene,Drug scene,-
00:20:48,00:20:48,Smoking scenes,Smoking scenes,-
00:20:54,00:20:54,Drug scene,Drug scene,-
00:20:54,00:20:54,Smoking scenes,Smoking scenes,-
00:21:03,00:21:03,Drug scene,Drug scene,-
00:21:03,00:21:03,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:21:03,00:21:03,Smoking scenes,Smoking scenes,-
00:21:54.010,00:22:22.579,Profanity,"['चूतिया', 'चोदे', 'धंधे', 'चोदे']",-
00:22:52.089,00:23:21.849,Profanity,"['चूतिया', 'भेनचोद']",-
00:23:22.050,00:23:40.060,Profanity,['चूतिया'],-
00:23:40,00:23:40,Drug scene,Drug scene,-
00:23:40,00:23:40,Smoking scenes,Smoking scenes,-
00:23:41,00:23:41,Drug scene,Drug scene,-
00:23:41,00:23:41,Smoking scenes,Smoking scenes,-
00:23:42,00:23:42,Smoking scenes,Smoking scenes,-
00:23:42,00:23:42,Drug scene,Drug scene,-
00:23:43,00:23:43,Drug scene,Drug scene,-
00:23:43,00:23:43,Smoking scenes,Smoking scenes,-
00:23:44,00:23:44,Smoking scenes,Smoking scenes,-
00:23:45,00:23:45,Smoking scenes,Smoking scenes,-
00:23:53,00:23:53,Smoking scenes,Smoking scenes,-
00:23:54,00:23:54,Smoking scenes,Smoking scenes,-
00:23:55,00:23:55,Smoking scenes,Smoking scenes,-
00:23:56,00:23:56,Smoking scenes,Smoking scenes,-
00:23:57,00:23:57,Smoking scenes,Smoking scenes,-
00:23:57.989,00:24:27.589,Profanity,['कुछ'],-
00:24:04,00:24:04,Drug scene,Drug scene,-
00:24:04,00:24:04,Smoking scenes,Smoking scenes,-
00:24:05,00:24:05,Smoking scenes,Smoking scenes,-
00:24:06,00:24:06,Smoking scenes,Smoking scenes,-
00:24:07,00:24:07,Smoking scenes,Smoking scenes,-
00:24:07,00:24:07,Drug scene,Drug scene,-
00:24:09,00:24:09,Smoking scenes,Smoking scenes,-
00:24:10,00:24:10,Drug scene,Drug scene,-
00:24:10,00:24:10,Smoking scenes,Smoking scenes,-
00:24:11,00:24:11,Smoking scenes,Smoking scenes,-
00:24:12,00:24:12,Smoking scenes,Smoking scenes,-
00:24:17,00:24:17,Smoking scenes,Smoking scenes,-
00:24:18,00:24:18,Smoking scenes,Smoking scenes,-
00:24:19,00:24:19,Smoking scenes,Smoking scenes,-
00:24:28,00:24:28,Smoking scenes,Smoking scenes,-
00:24:28,00:24:28,Drug scene,Drug scene,-
00:24:29,00:24:29,Smoking scenes,Smoking scenes,-
00:24:30,00:24:30,Smoking scenes,Smoking scenes,-
00:24:30,00:24:30,Drug scene,Drug scene,-
00:24:31,00:24:31,Drug scene,Drug scene,-
00:24:31,00:24:31,Smoking scenes,Smoking scenes,-
00:24:58.260,00:25:26.569,Profanity,['गांडू'],-
00:25:39,00:25:39,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:26:49,00:26:49,Drug scene,Drug scene,-
00:26:58,00:26:58,Drug scene,Drug scene,-
00:27:26,00:27:26,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:27:27,00:27:27,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:27:27,00:27:27,Drug scene,Drug scene,-
00:27:27,00:27:27,Smoking scenes,Smoking scenes,-
00:27:28,00:27:28,Drug scene,Drug scene,-
00:27:29,00:27:29,Drug scene,Drug scene,-
00:27:30,00:27:30,Drug scene,Drug scene,-
00:27:31,00:27:31,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:27:31,00:27:31,Drug scene,Drug scene,-
00:27:32,00:27:32,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:27:49,00:27:49,Drug scene,Drug scene,-
00:27:50,00:27:50,Drug scene,Drug scene,-
00:27:56,00:27:56,Drug scene,Drug scene,-
00:27:57,00:27:57,Drug scene,Drug scene,-
00:27:58,00:27:58,Drug scene,Drug scene,-
00:27:58,00:27:58,Smoking scenes,Smoking scenes,-
00:28:20,00:28:20,Smoking scenes,Smoking scenes,-
00:28:20,00:28:20,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:21,00:28:21,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:22,00:28:22,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:23,00:28:23,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:24,00:28:24,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:25,00:28:25,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:26,00:28:26,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:26,00:28:26,Drug scene,Drug scene,-
00:28:27,00:28:27,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:27,00:28:27,Drug scene,Drug scene,-
00:28:28,00:28:28,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:32,00:28:32,Smoking scenes,Smoking scenes,-
00:28:32,00:28:32,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:33,00:28:33,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:40,00:28:40,Drug scene,Drug scene,-
00:28:40,00:28:40,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:41,00:28:41,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:42,00:28:42,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:50,00:28:50,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:51,00:28:51,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:58,00:28:58,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:59,00:28:59,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:04,00:29:04,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:05,00:29:05,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:07,00:29:07,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:07,00:29:07,Drug scene,Drug scene,-
00:29:08,00:29:08,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:09,00:29:09,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:10,00:29:10,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:11,00:29:11,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:12,00:29:12,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:13,00:29:13,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:14,00:29:14,Smoking scenes,Smoking scenes,-
00:29:14,00:29:14,Drug scene,Drug scene,-
00:29:14,00:29:14,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:15,00:29:15,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:15,00:29:15,Drug scene,Drug scene,-
00:29:15,00:29:15,Smoking scenes,Smoking scenes,-
00:29:16,00:29:16,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:16,00:29:16,Smoking scenes,Smoking scenes,-
00:29:16,00:29:16,Drug scene,Drug scene,-
00:29:35,00:29:35,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:35.579,00:30:05.030,Profanity,"['fucking', 'toast']",-
00:29:36,00:29:36,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:37,00:29:37,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:41,00:29:41,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:42,00:29:42,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:50,00:29:50,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:51,00:29:51,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:52,00:29:52,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:53,00:29:53,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:54,00:29:54,Drug scene,Drug scene,-
00:29:54,00:29:54,Smoking scenes,Smoking scenes,-
00:29:54,00:29:54,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:55,00:29:55,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:56,00:29:56,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:56,00:29:56,Old Lady Drinking,Old Lady Drinking,-
00:29:58,00:29:58,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:59,00:29:59,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:59,00:29:59,Smoking scenes,Smoking scenes,-
00:30:00,00:30:00,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:30:01,00:30:01,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:30:01,00:30:01,Drug scene,Drug scene,-
